episode,scenario_id,target_load,actual_load,memory_load,core_load,reward,objective,balance_score,success_rate,failure_rate,vgpu_success_rate,vgpu_failure_rate,allocated_count,failure_count,allocated_vgpu_count,failure_vgpu_count,total_vgpu_count,num_gpus,num_pods,steps,loss,epsilon,eval_objective,eval_balance_score,eval_success_rate,eval_failure_rate,eval_vgpu_success_rate,eval_vgpu_failure_rate,eval_checkpoint_score,eval_conflict_objective,eval_conflict_intra_gpu_balance_score,eval_lowmid_objective,best_eval_objective,best_checkpoint_score
70,train-load-0.6-scenario-50,0.6,0.5165743333333332,0.48912534722222223,0.5165743333333332,13.124572830932703,1.2364198136919011,0.7635801863080989,1.0,0.0,1.0,0.0,8,0,8,0,8,6,8,8,0.7787462472915649,0.7040696960536299,,,,,,,,,,,-1e+18,-1e+18
71,train-load-0.7-scenario-663-retry-3,0.7,0.6,0.6,0.15,18.13459900302565,1.2073942419055739,0.7926057580944261,1.0,0.0,1.0,0.0,12,0,12,0,12,8,12,12,0.5460594892501831,0.7005493475733617,,,,,,,,,,,-1e+18,-1e+18
72,train-load-0.6-scenario-372-retry-1,0.6,0.5920854285714285,0.4972324404761905,0.5920854285714285,11.058700364900126,0.7548213711770252,0.8007341843785303,0.8888888888888888,0.1111111111111111,0.9,0.1,8,1,9,1,10,7,9,8,0.1943119466304779,0.697046600835495,,,,,,,,,,,-1e+18,-1e+18
73,train-load-1.0-scenario-285,1.0,1.0357142857142858,0.7619047619047619,1.0357142857142858,14.866800183651183,0.309890391999859,0.4269517132632989,0.6842105263157895,0.3157894736842105,0.6842105263157895,0.3157894736842105,13,6,13,6,19,7,19,13,0.2656310200691223,0.6935613678313175,,,,,,,,,,,-1e+18,-1e+18
74,train-load-0.8-scenario-189,0.8,0.7589661999999999,0.6487041666666666,0.7589661999999999,16.432554037241637,1.5934212608987748,0.4065787391012253,1.0,0.0,1.0,0.0,9,0,10,0,10,5,9,9,0.6242135167121887,0.6900935609921609,,,,,,,,,,,-1e+18,-1e+18
75,train-load-0.6-scenario-267-retry-4,0.6,0.54375,0.5,0.54375,16.07866951034862,1.2801844319898847,0.7198155680101153,1.0,0.0,1.0,0.0,10,0,10,0,10,8,10,10,1.282806158065796,0.6866430931872001,,,,,,,,,,,-1e+18,-1e+18
76,train-load-0.5-scenario-379,0.5,0.43300466666666665,0.3716204166666667,0.43300466666666665,9.206110424969328,0.95654421636031,1.04345578363969,1.0,0.0,1.0,0.0,6,0,7,0,7,6,6,6,0.9159863591194153,0.6832098777212641,,,,,,,,,,,-1e+18,-1e+18
77,train-load-0.6-scenario-440-retry-1,0.6,0.6666666666666666,0.6666666666666666,0.5,15.216083398729273,1.2793755210836546,0.32062447891634543,0.9,0.1,0.9,0.1,9,1,9,1,10,5,10,9,0.4635385274887085,0.6797938283326578,,,,,,,,,,,-1e+18,-1e+18
78,train-load-0.5-scenario-232,0.5,0.5525275,0.35601302083333336,0.5525275,4.732763425262183,0.43952321883495415,0.5604767811650458,0.75,0.25,0.8,0.2,3,1,4,1,5,4,4,3,0.5568435192108154,0.6763948591909945,,,,,,,,,,,-1e+18,-1e+18
79,train-load-0.6-scenario-543-retry-1,0.6,0.6,0.6,0.3,19.506649566010587,1.407621309559585,0.5923786904404149,1.0,0.0,1.0,0.0,12,0,12,0,12,8,12,12,0.546744167804718,0.6730128848950395,,,,,,,,,,,-1e+18,-1e+18
80,train-load-0.6-scenario-310,0.6,0.5406945000000001,0.43960437500000005,0.5406945000000001,8.622910364061482,1.0524599761556108,0.9475400238443891,1.0,0.0,1.0,0.0,5,0,5,0,5,4,5,5,0.46499449014663696,0.6696478204705644,,,,,,,,,,,-1e+18,-1e+18
81,train-load-1.0-scenario-644,1.0,0.92183775,0.776460625,0.92183775,8.7560790720598,0.6036810267680077,0.39631897323199217,0.75,0.25,0.7777777777777778,0.2222222222222222,6,2,7,2,9,4,8,6,1.1308374404907227,0.6662995813682115,,,,,,,,,,,-1e+18,-1e+18
82,train-load-0.7-scenario-249-retry-3,0.7,0.7619047619047619,0.7619047619047619,0.11428571428571428,6.484245701861814,0.2514814484871988,0.7485185515128012,0.75,0.25,0.75,0.25,6,2,6,2,8,7,8,6,0.40714403986930847,0.6629680834613705,,,,,,,,,,,-1e+18,-1e+18
83,train-load-0.8-scenario-197,0.8,0.7030302083333333,0.7030302083333333,0.679151,3.7859107348285335,-0.09872666060448909,0.9558695177473463,0.7142857142857143,0.2857142857142857,0.7142857142857143,0.2857142857142857,5,2,5,2,7,4,7,5,0.5003736019134521,0.6596532430440636,,,,,,,,,,,-1e+18,-1e+18
84,train-load-0.8-scenario-594,0.8,0.72501875,0.72501875,0.647019875,14.863626661447828,0.7709045701199633,0.6137108144954213,0.8461538461538461,0.15384615384615385,0.8666666666666667,0.13333333333333333,11,2,13,2,15,8,13,11,0.6548027992248535,0.6563549768288433,,,,,,,,,,,-1e+18,-1e+18
85,train-load-0.9-scenario-48-retry-9,0.9,0.85,0.525,0.85,11.458713982235544,0.8366158735069719,0.7189396820485836,0.8888888888888888,0.1111111111111111,0.8333333333333334,0.16666666666666666,8,1,10,2,12,6,9,8,0.27625298500061035,0.653073201944699,,,,,,,,,,,-1e+18,-1e+18
